record,train,test
A0001,True,False
A0002,True,False
A0003,True,False
A0004,True,False
A0005,False,True
A0006,True,False
A0007,True,False
A0008,True,False
A0009,True,False
A0010,True,False
A0011,True,False
A0012,True,False
A0013,True,False
A0014,True,False
A0015,True,False
A0016,True,False
A0017,True,False
A0018,True,False
A0019,True,False
A0020,True,False
A0021,False,True
A0022,False,True
A0023,True,False
A0024,True,False
A0025,True,False
A0026,True,False
A0027,True,False
A0028,True,False
A0029,True,False
A0030,True,False
A0031,True,False
A0032,False,True
A0033,True,False
A0034,True,False
A0035,True,False
A0036,False,True
A0037,True,False
A0038,True,False
A0039,True,False
A0040,True,False
A0041,True,False
A0042,True,False
A0043,False,True
A0044,True,False
A0045,True,False
A0046,True,False
A0047,True,False
A0048,True,False
A0049,True,False
A0050,True,False
A0051,False,True
A0052,True,False
A0053,True,False
A0054,True,False
A0055,True,False
A0056,True,False
A0057,True,False
A0058,True,False
A0059,True,False
A0060,False,True
A0061,True,False
A0062,False,True
A0063,False,True
A0064,True,False
A0065,True,False
A0066,True,False
A0067,True,False
A0068,True,False
A0069,True,False
A0070,True,False
A0071,True,False
A0072,True,False
A0073,True,False
A0074,True,False
A0075,True,False
A0076,True,False
A0077,True,False
A0078,True,False
A0079,True,False
A0080,True,False
A0081,False,True
A0082,False,True
A0083,True,False
A0084,True,False
A0085,True,False
A0086,True,False
A0087,True,False
A0088,True,False
A0089,True,False
A0090,True,False
A0091,True,False
A0092,True,False
A0093,False,True
A0094,True,False
A0095,True,False
A0096,True,False
A0097,True,False
A0098,True,False
A0099,False,True
A0100,True,False
A0101,False,True
A0102,True,False
A0103,False,True
A0104,True,False
A0105,True,False
A0106,False,True
A0107,True,False
A0108,True,False
A0109,True,False
A0110,True,False
A0111,True,False
A0112,True,False
A0113,True,False
A0114,True,False
A0115,False,True
A0116,False,True
A0117,True,False
A0118,True,False
A0119,True,False
A0120,True,False
A0121,True,False
A0122,True,False
A0123,True,False
A0124,True,False
A0125,True,False
A0126,True,False
A0127,True,False
