record,train,test
Q0001,False,True
Q0002,True,False
Q0003,True,False
Q0004,True,False
Q0005,False,True
Q0006,False,True
Q0007,True,False
Q0010,True,False
Q0011,True,False
Q0012,True,False
Q0013,True,False
Q0014,True,False
Q0015,True,False
Q0016,True,False
Q0017,True,False
Q0018,True,False
Q0019,True,False
Q0020,True,False
Q0021,True,False
Q0022,True,False
Q0023,True,False
Q0024,True,False
Q0025,True,False
Q0026,True,False
Q0027,False,True
Q0028,False,True
Q0029,True,False
Q0030,True,False
Q0031,False,True
Q0032,True,False
Q0033,True,False
Q0034,True,False
Q0035,True,False
Q0036,False,True
Q0037,True,False
Q0038,True,False
Q0039,False,True
Q0040,True,False
Q0041,True,False
Q0042,True,False
Q0043,True,False
Q0044,True,False
Q0045,True,False
Q0046,False,True
Q0047,True,False
Q0048,False,True
Q0049,True,False
Q0050,True,False
Q0051,True,False
Q0052,True,False
Q0053,True,False
Q0054,True,False
Q0055,True,False
Q0056,True,False
Q0057,True,False
Q0058,True,False
Q0059,True,False
Q0060,True,False
Q0061,False,True
Q0062,True,False
Q0063,True,False
Q0064,True,False
Q0065,False,True
Q0066,True,False
Q0067,False,True
Q0068,True,False
Q0069,True,False
Q0070,True,False
Q0071,True,False
Q0072,False,True
Q0073,True,False
Q0074,True,False
Q0075,False,True
Q0076,True,False
Q0077,False,True
Q0078,True,False
Q0079,True,False
Q0080,True,False
Q0081,True,False
Q0082,True,False
Q0083,True,False
Q0084,True,False
Q0085,True,False
Q0086,True,False
Q0087,True,False
Q0088,True,False
Q0089,True,False
Q0090,True,False
Q0091,True,False
Q0092,True,False
Q0093,True,False
Q0094,True,False
Q0095,True,False
Q0096,True,False
Q0097,True,False
Q0098,True,False
Q0099,True,False
Q0100,True,False
Q0101,True,False
Q0102,True,False
Q0103,True,False
Q0104,True,False
Q0105,True,False
Q0106,False,True
Q0107,True,False
Q0108,True,False
Q0109,True,False
Q0110,True,False
Q0112,True,False
Q0113,True,False
Q0114,True,False
Q0115,False,True
Q0116,False,True
Q0117,True,False
Q0118,False,True
Q0119,True,False
Q0120,True,False
Q0121,False,True
Q0122,True,False
Q0123,False,True
Q0124,True,False
Q0125,True,False
Q0126,False,True
Q0127,False,True
Q0128,True,False
Q0129,True,False
Q0130,True,False
Q0131,False,True
Q0132,True,False
Q0133,False,True
Q0134,True,False
Q0135,True,False
Q0136,False,True
Q0137,True,False
Q0138,True,False
Q0139,True,False
Q0140,True,False
Q0141,True,False
Q0142,True,False
Q0143,True,False
Q0144,True,False
Q0145,False,True
Q0146,True,False
Q0147,True,False
