record,train,test
JS00001,True,False
JS00002,True,False
JS00004,False,True
JS00005,True,False
JS00006,True,False
JS00007,True,False
JS00008,False,True
JS00009,False,True
JS00010,True,False
JS00011,False,True
JS00012,True,False
JS00013,False,True
JS00014,False,True
JS00015,True,False
JS00016,False,True
JS00017,True,False
JS00018,True,False
JS00019,True,False
JS00020,True,False
JS00021,True,False
JS00022,False,True
JS00023,True,False
JS00024,True,False
JS00025,False,True
JS00026,True,False
JS00027,True,False
JS00029,True,False
JS00030,True,False
JS00031,False,True
JS00032,True,False
JS00033,False,True
JS00034,False,True
JS00036,True,False
JS00037,True,False
JS00038,False,True
JS00039,True,False
JS00040,True,False
JS00041,True,False
JS00042,True,False
JS00043,True,False
JS00044,False,True
JS00045,True,False
JS00046,True,False
JS00047,False,True
JS00048,True,False
JS00049,True,False
JS00050,True,False
JS00051,True,False
JS00052,False,True
JS00053,True,False
JS00054,True,False
JS00055,True,False
JS00056,True,False
JS00057,True,False
JS00058,True,False
JS00059,True,False
JS00060,True,False
JS00061,True,False
JS00062,False,True
JS00063,True,False
JS00064,True,False
JS00065,True,False
JS00066,True,False
JS00067,False,True
JS00068,True,False
JS00069,True,False
JS00070,False,True
JS00071,True,False
JS00072,True,False
JS00073,True,False
JS00074,True,False
JS00075,True,False
JS00076,True,False
JS00077,True,False
JS00078,True,False
JS00079,True,False
JS00080,False,True
JS00081,True,False
JS00082,True,False
JS00083,False,True
JS00084,True,False
JS00085,False,True
JS00086,True,False
JS00087,True,False
JS00088,False,True
JS00089,False,True
JS00090,True,False
JS00091,True,False
JS00092,False,True
JS00093,False,True
JS00094,True,False
JS00095,True,False
JS00096,True,False
JS00097,True,False
JS00099,True,False
JS00100,True,False
JS00101,True,False
JS00102,True,False
JS00103,True,False
JS00104,True,False
JS00105,True,False
JS00106,False,True
JS00107,False,True
JS00108,False,True
JS00109,False,True
JS00110,True,False
JS00111,True,False
JS00112,True,False
JS00113,True,False
JS00114,True,False
JS00115,True,False
JS00116,True,False
JS00117,True,False
JS00118,True,False
JS00119,True,False
JS00120,True,False
JS00121,False,True
JS00122,True,False
JS00123,True,False
JS00124,True,False
JS00125,True,False
JS00126,False,True
JS00127,True,False
JS00128,True,False
JS00129,True,False
JS00130,True,False
JS00131,True,False
JS00132,True,False
JS00133,True,False
JS00134,False,True
JS00137,True,False
JS00138,True,False
JS00139,False,True
JS00140,False,True
JS00141,True,False
JS00142,True,False
JS00143,True,False
JS00144,True,False
JS00145,True,False
JS00146,True,False
JS00147,True,False
JS00148,True,False
JS00150,True,False
JS00151,True,False
JS00152,True,False
JS00153,True,False
JS00154,True,False
JS00155,True,False
JS00156,True,False
JS00157,True,False
JS00158,True,False
JS00159,True,False
JS00160,False,True
JS00161,True,False
JS00162,True,False
JS00163,True,False
JS00164,True,False
JS00165,True,False
JS00166,True,False
JS00167,True,False
JS00168,True,False
JS00169,True,False
JS00170,True,False
JS00171,True,False
JS00172,True,False
JS00173,True,False
JS00174,True,False
JS00175,True,False
JS00176,False,True
JS00177,True,False
JS00178,True,False
JS00179,True,False
JS00180,True,False
JS00181,True,False
JS00182,True,False
JS00183,True,False
JS00184,False,True
JS00185,True,False
JS00186,True,False
JS00187,True,False
JS00188,True,False
JS00189,True,False
JS00190,True,False
JS00191,True,False
JS00192,True,False
JS00193,True,False
JS00194,True,False
JS00195,True,False
JS00196,True,False
JS00197,True,False
JS00198,False,True
JS00199,True,False
JS00200,False,True
JS00201,True,False
JS00202,True,False
JS00203,True,False
JS00204,True,False
JS00205,True,False
JS00206,True,False
JS00207,True,False
JS00208,True,False
JS00209,True,False
JS00210,False,True
JS00211,False,True
JS00212,True,False
JS00213,True,False
JS00215,True,False
JS00216,False,True
JS00217,True,False
JS00218,True,False
JS00219,True,False
JS00220,True,False
JS00221,True,False
JS00222,True,False
JS00223,True,False
JS00224,True,False
JS00225,True,False
JS00226,True,False
JS00227,True,False
JS00228,True,False
JS00229,False,True
JS00230,False,True
JS00231,True,False
JS00232,False,True
JS00233,False,True
JS00234,True,False
JS00235,False,True
JS00236,True,False
JS00237,True,False
JS00238,True,False
JS00239,True,False
JS00240,False,True
JS00241,True,False
JS00242,True,False
JS00243,False,True
JS00244,True,False
JS00245,True,False
JS00247,True,False
JS00248,True,False
JS00249,False,True
JS00250,True,False
JS00251,True,False
JS00252,True,False
JS00253,False,True
JS00254,True,False
JS00255,True,False
JS00256,True,False
JS00257,True,False
JS00258,True,False
JS00259,True,False
JS00260,True,False
JS00261,True,False
JS00262,False,True
JS00263,False,True
JS00264,True,False
JS00265,True,False
JS00266,False,True
JS00267,True,False
JS00268,True,False
JS00269,True,False
JS00270,True,False
JS00271,True,False
JS00272,True,False
JS00273,True,False
JS00274,False,True
JS00276,True,False
JS00277,True,False
JS00278,True,False
JS00279,True,False
JS00280,True,False
JS00281,True,False
JS00282,False,True
JS00283,True,False
JS00284,True,False
JS00285,True,False
JS00286,True,False
JS00287,True,False
JS00288,True,False
JS00289,True,False
JS00290,True,False
JS00291,True,False
JS00292,True,False
JS00293,True,False
JS00294,True,False
JS00295,False,True
JS00296,True,False
JS00297,True,False
JS00298,True,False
JS00299,True,False
JS00300,False,True
JS00301,True,False
JS00302,True,False
JS00303,False,True
JS00304,False,True
JS00305,True,False
JS00306,True,False
JS00307,True,False
JS00308,True,False
JS00309,False,True
JS00310,True,False
JS00311,True,False
JS00312,True,False
JS00313,True,False
JS00314,True,False
JS00315,False,True
JS00316,True,False
JS00317,False,True
JS00318,True,False
JS00319,False,True
JS00320,True,False
JS00321,True,False
JS00322,True,False
JS00323,True,False
JS00324,True,False
JS00325,True,False
JS00326,True,False
JS00327,True,False
JS00328,True,False
JS00329,True,False
JS00330,False,True
JS00331,False,True
JS00332,True,False
JS00333,True,False
JS00334,False,True
JS00335,True,False
JS00336,True,False
JS00337,True,False
JS00338,True,False
JS00339,True,False
JS00340,True,False
JS00341,True,False
JS00342,True,False
JS00343,True,False
JS00344,False,True
JS00345,False,True
JS00346,True,False
JS00347,True,False
JS00348,True,False
JS00349,True,False
JS00350,True,False
JS00351,True,False
JS00352,True,False
JS00353,True,False
JS00354,True,False
JS00355,True,False
JS00356,False,True
JS00357,True,False
JS00358,False,True
JS00359,True,False
JS00360,True,False
JS00361,True,False
JS00362,True,False
JS00363,True,False
JS00364,True,False
JS00365,True,False
JS00366,True,False
JS00367,True,False
JS00368,True,False
JS00369,True,False
JS00370,True,False
JS00371,False,True
JS00372,True,False
JS00373,True,False
JS00374,False,True
JS00375,False,True
JS00376,True,False
JS00377,True,False
JS00378,False,True
JS00379,True,False
JS00380,False,True
JS00381,True,False
JS00382,False,True
JS00383,True,False
JS00384,False,True
JS00385,True,False
JS00386,True,False
JS00387,True,False
JS00388,True,False
JS00389,True,False
JS00390,True,False
JS00391,True,False
JS00392,False,True
JS00393,False,True
JS00394,False,True
JS00395,False,True
JS00396,True,False
JS00397,False,True
JS00398,True,False
JS00399,False,True
JS00400,True,False
JS00401,False,True
JS00402,True,False
JS00403,True,False
JS00404,True,False
JS00405,True,False
JS00406,True,False
JS00407,False,True
JS00408,True,False
JS00409,True,False
JS00410,True,False
JS00411,True,False
JS00412,True,False
JS00413,True,False
JS00414,False,True
JS00415,True,False
JS00417,False,True
JS00420,True,False
JS00421,False,True
JS00422,True,False
JS00423,True,False
JS00424,True,False
JS00425,True,False
JS00426,True,False
JS00427,True,False
JS00428,True,False
JS00429,False,True
JS00430,True,False
JS00431,True,False
JS00432,False,True
JS00433,True,False
JS00434,True,False
JS00435,False,True
JS00436,True,False
JS00437,True,False
JS00438,True,False
JS00439,True,False
JS00440,True,False
JS00441,True,False
JS00442,True,False
JS00444,True,False
JS00445,True,False
JS00446,True,False
JS00447,True,False
JS00448,True,False
JS00449,True,False
JS00450,True,False
JS00451,True,False
JS00452,False,True
JS00453,True,False
JS00454,False,True
JS00455,True,False
JS00456,True,False
JS00457,True,False
JS00458,True,False
JS00459,True,False
JS00461,False,True
JS00462,True,False
JS00463,True,False
JS00464,True,False
JS00465,True,False
JS00466,False,True
JS00467,True,False
JS00468,True,False
JS00469,True,False
JS00470,True,False
JS00471,True,False
JS00472,True,False
JS00473,False,True
JS00474,True,False
JS00475,True,False
JS00476,True,False
JS00477,True,False
JS00478,True,False
JS00479,True,False
JS00480,True,False
JS00481,True,False
JS00482,False,True
JS00483,False,True
JS00484,True,False
JS00485,True,False
JS00486,True,False
JS00487,False,True
JS00488,True,False
JS00490,True,False
JS00491,False,True
JS00492,True,False
JS00493,False,True
JS00494,True,False
JS00495,True,False
JS00496,True,False
JS00497,True,False
JS00498,True,False
JS00499,True,False
JS00500,True,False
JS00501,True,False
JS00502,True,False
JS00503,True,False
JS00504,True,False
JS00506,True,False
JS00507,True,False
JS00508,False,True
JS00509,True,False
JS00510,True,False
JS00511,True,False
JS00512,False,True
JS00513,False,True
JS00514,True,False
JS00515,True,False
JS00516,False,True
JS00517,True,False
JS00518,True,False
JS00519,True,False
JS00520,True,False
JS00521,False,True
JS00522,True,False
JS00523,True,False
JS00524,False,True
JS00525,True,False
JS00526,True,False
JS00527,False,True
JS00528,True,False
JS00529,True,False
JS00530,True,False
JS00531,False,True
JS00532,True,False
JS00533,True,False
JS00534,False,True
JS00535,False,True
JS00536,False,True
JS00537,True,False
JS00538,True,False
JS00540,True,False
JS00541,True,False
JS00543,True,False
JS00544,True,False
JS00545,True,False
JS00546,True,False
JS00547,False,True
JS00548,True,False
JS00549,True,False
JS00550,False,True
JS00552,True,False
JS00553,True,False
JS00554,True,False
JS00556,True,False
JS00557,True,False
JS00558,True,False
JS00559,True,False
JS00560,True,False
JS00561,True,False
JS00562,True,False
JS00563,True,False
JS00564,False,True
JS00565,True,False
JS00566,True,False
JS00567,True,False
JS00568,True,False
JS00569,True,False
JS00570,True,False
JS00571,True,False
JS00572,False,True
JS00573,False,True
JS00574,False,True
JS00575,True,False
JS00576,True,False
JS00577,False,True
JS00578,True,False
JS00579,False,True
JS00580,True,False
JS00581,False,True
JS00582,True,False
JS00583,True,False
JS00585,True,False
JS00586,False,True
JS00587,True,False
JS00588,True,False
JS00589,True,False
JS00590,False,True
JS00591,True,False
JS00592,True,False
JS00594,True,False
JS00595,True,False
JS00596,True,False
JS00597,True,False
JS00598,True,False
JS00599,True,False
JS00600,False,True
JS00601,True,False
JS00602,True,False
JS00603,True,False
JS00605,False,True
JS00606,True,False
JS00607,False,True
JS00608,True,False
JS00609,True,False
JS00610,False,True
JS00611,True,False
JS00612,True,False
JS00613,True,False
JS00614,True,False
JS00615,True,False
JS00616,True,False
JS00617,True,False
JS00618,True,False
JS00619,False,True
JS00620,True,False
JS00621,True,False
JS00623,True,False
JS00624,True,False
JS00625,False,True
JS00626,True,False
JS00627,True,False
JS00628,True,False
JS00629,True,False
JS00630,True,False
JS00631,True,False
JS00633,True,False
JS00634,True,False
JS00635,True,False
JS00636,False,True
JS00637,True,False
JS00638,False,True
JS00639,True,False
JS00640,False,True
JS00641,True,False
JS00642,True,False
JS00643,True,False
JS00644,False,True
JS00645,False,True
JS00646,True,False
JS00647,False,True
JS00648,True,False
JS00649,True,False
JS00651,True,False
JS00652,True,False
JS00653,True,False
JS00654,True,False
JS00655,True,False
JS00656,True,False
JS00657,True,False
JS00659,True,False
JS00660,True,False
JS00661,True,False
JS00662,True,False
JS00663,True,False
JS00664,True,False
JS00665,True,False
JS00666,True,False
JS00667,True,False
JS00668,True,False
JS00669,True,False
JS00670,False,True
JS00671,True,False
JS00672,True,False
JS00673,False,True
JS00674,True,False
JS00675,False,True
JS00677,True,False
JS00679,True,False
JS00680,True,False
JS00681,True,False
JS00682,True,False
JS00683,True,False
JS00684,True,False
JS00685,True,False
JS00686,True,False
JS00687,True,False
JS00688,True,False
JS00689,True,False
JS00690,True,False
JS00691,True,False
JS00692,True,False
JS00693,True,False
JS00694,True,False
JS00695,True,False
JS00696,True,False
JS00697,False,True
JS00698,True,False
JS00699,True,False
JS00700,True,False
JS00701,True,False
JS00702,True,False
JS00703,True,False
JS00704,True,False
JS00705,True,False
JS00706,True,False
JS00707,True,False
JS00708,True,False
JS00709,True,False
JS00711,False,True
JS00712,True,False
JS00713,True,False
JS00714,True,False
JS00716,True,False
JS00717,True,False
JS00718,True,False
JS00719,True,False
JS00720,True,False
JS00721,True,False
JS00722,True,False
JS00723,True,False
JS00724,True,False
JS00725,True,False
JS00726,True,False
JS00727,True,False
JS00728,True,False
JS00729,True,False
JS00731,True,False
JS00732,True,False
JS00734,True,False
JS00735,True,False
JS00736,True,False
JS00737,True,False
JS00738,True,False
JS00739,True,False
JS00740,True,False
JS00741,False,True
JS00742,False,True
JS00743,True,False
JS00744,True,False
JS00745,True,False
JS00746,True,False
JS00747,True,False
JS00748,True,False
JS00749,False,True
JS00750,True,False
JS00751,True,False
JS00752,True,False
JS00753,True,False
JS00754,True,False
JS00755,True,False
JS00756,True,False
JS00757,True,False
JS00758,False,True
JS00759,True,False
JS00760,True,False
JS00761,True,False
JS00762,True,False
JS00763,True,False
JS00764,True,False
JS00765,False,True
JS00766,True,False
JS00767,False,True
JS00768,True,False
JS00769,True,False
JS00770,True,False
JS00771,True,False
JS00772,True,False
JS00773,True,False
JS00774,True,False
JS00775,True,False
JS00776,False,True
JS00777,False,True
JS00778,False,True
JS00779,True,False
JS00780,True,False
JS00781,False,True
JS00782,True,False
JS00783,True,False
JS00784,True,False
JS00785,True,False
JS00786,True,False
JS00787,True,False
JS00788,True,False
JS00790,True,False
JS00791,True,False
JS00792,False,True
JS00793,True,False
JS00794,True,False
JS00795,True,False
JS00796,True,False
JS00797,False,True
JS00798,True,False
JS00799,True,False
JS00800,True,False
JS00801,True,False
JS00803,True,False
JS00804,False,True
JS00805,True,False
JS00806,False,True
JS00807,True,False
JS00808,True,False
JS00809,False,True
JS00810,True,False
JS00811,True,False
JS00812,True,False
JS00813,True,False
JS00814,True,False
JS00815,True,False
JS00816,True,False
JS00817,True,False
JS00818,True,False
JS00819,True,False
JS00820,True,False
JS00821,False,True
JS00822,True,False
JS00823,True,False
JS00824,False,True
JS00825,True,False
JS00827,True,False
JS00828,False,True
JS00829,True,False
JS00830,True,False
JS00831,True,False
JS00832,True,False
JS00833,True,False
JS00834,True,False
JS00835,True,False
JS00837,False,True
JS00838,True,False
JS00839,True,False
JS00840,True,False
JS00841,True,False
JS00842,False,True
JS00843,False,True
JS00844,True,False
JS00845,True,False
JS00846,True,False
JS00847,True,False
JS00848,True,False
JS00849,True,False
JS00850,True,False
JS00851,True,False
JS00852,True,False
JS00853,True,False
JS00854,False,True
JS00856,True,False
JS00857,True,False
JS00858,True,False
JS00859,False,True
JS00860,True,False
JS00861,True,False
JS00863,False,True
JS00864,True,False
JS00865,True,False
JS00866,True,False
JS00867,True,False
JS00868,False,True
JS00870,True,False
JS00871,True,False
JS00872,True,False
JS00873,True,False
JS00875,True,False
JS00876,False,True
JS00877,True,False
JS00878,True,False
JS00879,True,False
JS00880,True,False
JS00881,True,False
JS00882,True,False
JS00883,True,False
JS00884,True,False
JS00885,True,False
JS00886,True,False
JS00887,True,False
JS00888,True,False
JS00890,True,False
JS00891,True,False
JS00893,True,False
JS00894,False,True
JS00895,True,False
JS00896,True,False
JS00897,True,False
JS00898,True,False
JS00899,False,True
JS00900,True,False
JS00901,True,False
JS00902,True,False
JS00903,True,False
JS00904,True,False
JS00905,True,False
JS00906,True,False
JS00907,True,False
JS00909,True,False
JS00910,True,False
JS00911,False,True
JS00912,True,False
JS00913,True,False
JS00914,True,False
JS00915,True,False
JS00916,True,False
JS00917,True,False
JS00918,False,True
JS00919,True,False
JS00921,True,False
JS00922,False,True
JS00924,True,False
JS00925,False,True
JS00926,True,False
JS00927,False,True
JS00928,True,False
JS00929,True,False
JS00930,True,False
JS00931,True,False
JS00932,False,True
JS00933,True,False
JS00934,True,False
JS00935,False,True
JS00936,False,True
JS00937,True,False
JS00938,True,False
JS00939,False,True
JS00940,True,False
JS00941,False,True
JS00942,True,False
JS00943,True,False
JS00944,True,False
JS00945,True,False
JS00946,True,False
JS00947,True,False
JS00948,False,True
JS00949,True,False
JS00950,True,False
JS00951,False,True
JS00952,True,False
JS00953,False,True
JS00954,True,False
JS00955,True,False
JS00956,False,True
JS00958,True,False
JS00959,True,False
JS00960,True,False
JS00961,True,False
JS00962,True,False
JS00963,True,False
JS00964,True,False
JS00965,True,False
JS00966,True,False
JS00967,False,True
JS00968,False,True
JS00969,True,False
JS00970,True,False
JS00971,True,False
