record,train,test
E00001,True,False
E00002,True,False
E00003,False,True
E00004,False,True
E00005,True,False
E00006,True,False
E00007,False,True
E00008,True,False
E00009,True,False
E00010,True,False
E00011,True,False
E00012,False,True
E00013,False,True
E00014,True,False
E00015,False,True
E00016,False,True
E00017,True,False
E00018,True,False
E00019,True,False
E00020,True,False
E00021,False,True
E00022,True,False
E00023,True,False
E00024,False,True
E00025,False,True
E00026,True,False
E00027,True,False
E00028,True,False
E00029,True,False
E00030,True,False
E00031,True,False
E00032,True,False
E00033,True,False
E00034,True,False
E00035,True,False
E00036,False,True
E00037,True,False
E00038,True,False
E00039,True,False
E00040,True,False
E00041,True,False
E00042,True,False
E00043,False,True
E00044,True,False
E00045,False,True
E00046,False,True
E00047,True,False
E00048,True,False
E00049,True,False
E00050,True,False
E00051,True,False
E00052,True,False
E00053,True,False
E00054,True,False
E00055,True,False
E00056,True,False
E00057,True,False
E00058,True,False
E00059,False,True
E00060,True,False
E00061,True,False
E00062,True,False
E00063,True,False
E00064,False,True
E00065,True,False
E00066,True,False
E00067,False,True
E00068,True,False
E00069,False,True
E00070,True,False
E00071,True,False
E00072,True,False
E00073,True,False
E00074,True,False
E00075,False,True
E00076,True,False
E00077,True,False
E00078,True,False
E00079,True,False
E00080,True,False
E00081,False,True
E00082,False,True
E00083,True,False
E00084,True,False
E00085,True,False
E00086,False,True
E00087,True,False
E00088,True,False
E00089,False,True
E00090,False,True
E00091,True,False
E00092,True,False
E00093,True,False
E00094,True,False
E00095,True,False
E00096,False,True
E00097,True,False
E00098,True,False
E00099,True,False
E00100,True,False
E00101,True,False
E00102,True,False
E00103,True,False
E00104,True,False
E00105,False,True
E00106,True,False
E00107,True,False
E00108,True,False
E00109,True,False
E00110,True,False
E00111,True,False
E00112,True,False
E00113,False,True
E00114,True,False
E00115,True,False
E00116,True,False
E00117,True,False
E00118,True,False
E00119,True,False
E00120,True,False
E00121,True,False
E00122,False,True
E00123,True,False
E00124,True,False
E00125,True,False
E00126,True,False
E00127,True,False
E00128,True,False
E00129,True,False
E00130,False,True
E00131,True,False
E00132,True,False
E00133,False,True
E00134,True,False
E00135,False,True
E00136,True,False
E00137,True,False
E00138,True,False
E00139,True,False
E00140,True,False
E00141,True,False
E00142,True,False
E00143,True,False
E00144,True,False
E00145,True,False
E00146,True,False
E00147,True,False
E00148,True,False
E00149,True,False
E00150,True,False
E00151,True,False
E00152,True,False
E00153,False,True
E00154,True,False
E00155,True,False
E00156,True,False
E00157,True,False
E00158,True,False
E00159,True,False
E00160,True,False
E00161,True,False
E00162,True,False
E00163,True,False
E00164,False,True
E00165,True,False
E00166,True,False
E00167,True,False
E00168,False,True
E00169,True,False
E00170,True,False
E00171,True,False
E00172,True,False
E00173,True,False
E00174,True,False
E00175,True,False
E00176,True,False
E00177,True,False
E00178,True,False
E00179,True,False
E00180,True,False
E00181,True,False
E00182,True,False
E00183,True,False
E00184,True,False
E00185,True,False
E00186,True,False
E00187,True,False
E00188,False,True
E00189,False,True
E00190,True,False
E00191,False,True
E00192,True,False
E00193,False,True
E00194,True,False
E00195,True,False
E00196,True,False
E00197,True,False
E00198,False,True
E00199,True,False
E00200,True,False
E00201,True,False
E00202,True,False
E00203,True,False
E00204,False,True
E00205,True,False
E00206,True,False
E00207,True,False
E00208,True,False
E00209,True,False
E00210,True,False
E00211,True,False
E00212,True,False
E00213,True,False
E00214,True,False
E00215,False,True
E00216,True,False
E00217,True,False
E00218,True,False
E00219,True,False
E00220,True,False
E00221,True,False
E00222,True,False
E00223,True,False
E00224,False,True
E00225,True,False
E00226,True,False
E00227,False,True
E00228,True,False
E00229,True,False
E00230,True,False
E00231,True,False
E00232,True,False
E00233,True,False
E00234,False,True
E00235,False,True
E00236,True,False
E00237,True,False
E00238,True,False
E00239,False,True
E00240,False,True
E00241,True,False
E00242,True,False
E00243,True,False
E00244,False,True
E00245,True,False
E00246,True,False
E00247,True,False
E00248,True,False
E00249,True,False
E00250,True,False
E00251,True,False
E00252,True,False
E00253,False,True
E00254,True,False
E00255,True,False
E00256,True,False
E00257,True,False
E00258,True,False
E00259,True,False
E00260,True,False
