record,train,test
JS10647,True,False
JS10648,False,True
JS10649,True,False
JS10650,True,False
JS10651,True,False
JS10652,True,False
JS10653,True,False
JS10654,True,False
JS10655,True,False
JS10656,True,False
JS10657,True,False
JS10658,True,False
JS10659,True,False
JS10660,True,False
JS10661,True,False
JS10662,True,False
JS10663,True,False
JS10664,True,False
JS10665,True,False
JS10666,False,True
JS10667,False,True
JS10668,False,True
JS10669,True,False
JS10670,False,True
JS10671,True,False
JS10672,True,False
JS10673,False,True
JS10674,True,False
JS10675,True,False
JS10676,True,False
JS10677,True,False
JS10678,False,True
JS10679,True,False
JS10680,True,False
JS10681,False,True
JS10682,True,False
JS10683,False,True
JS10684,True,False
JS10685,True,False
JS10686,True,False
JS10687,True,False
JS10688,True,False
JS10689,True,False
JS10690,True,False
JS10691,True,False
JS10692,True,False
JS10693,True,False
JS10694,True,False
JS10695,True,False
JS10696,False,True
JS10697,True,False
JS10698,False,True
JS10699,True,False
JS10700,False,True
JS10701,True,False
JS10702,True,False
JS10703,True,False
JS10704,False,True
JS10705,True,False
JS10706,True,False
JS10707,True,False
JS10708,False,True
JS10709,True,False
JS10710,False,True
JS10711,True,False
JS10712,True,False
JS10713,True,False
JS10714,True,False
JS10715,True,False
JS10716,True,False
JS10717,True,False
JS10718,True,False
JS10719,True,False
JS10720,True,False
JS10721,True,False
JS10722,True,False
JS10723,True,False
JS10724,True,False
JS10725,True,False
JS10726,True,False
JS10727,False,True
JS10728,False,True
JS10729,True,False
JS10730,True,False
JS10731,True,False
JS10732,True,False
JS10733,True,False
JS10734,False,True
JS10735,True,False
JS10736,True,False
JS10737,True,False
JS10738,True,False
JS10739,True,False
JS10740,False,True
JS10741,True,False
JS10742,True,False
JS10743,True,False
JS10744,True,False
JS10745,True,False
JS10746,True,False
JS10747,False,True
JS10748,False,True
JS10749,True,False
JS10750,True,False
JS10751,True,False
JS10752,True,False
JS10753,False,True
JS10754,False,True
JS10755,True,False
JS10756,True,False
JS10757,True,False
JS10758,True,False
JS10759,True,False
JS10760,True,False
JS10761,True,False
JS10762,True,False
JS10763,True,False
JS10764,True,False
JS10765,True,False
JS10766,True,False
JS10767,False,True
JS10768,False,True
JS10769,True,False
JS10770,True,False
JS10771,True,False
JS10772,True,False
JS10773,True,False
JS10774,True,False
JS10775,False,True
JS10776,True,False
JS10777,True,False
JS10778,True,False
JS10779,False,True
JS10780,True,False
JS10781,False,True
JS10782,True,False
JS10783,True,False
JS10784,False,True
JS10785,True,False
JS10786,True,False
JS10787,True,False
JS10788,True,False
JS10789,True,False
JS10790,True,False
JS10791,True,False
JS10792,True,False
JS10793,True,False
JS10794,False,True
JS10795,True,False
JS10796,True,False
JS10797,True,False
JS10798,True,False
JS10799,True,False
JS10800,True,False
JS10801,False,True
JS10802,False,True
JS10803,True,False
JS10804,True,False
JS10805,True,False
JS10806,True,False
JS10807,False,True
JS10808,True,False
JS10809,True,False
JS10810,True,False
JS10811,True,False
JS10812,True,False
JS10813,True,False
JS10814,True,False
JS10815,True,False
JS10816,True,False
JS10817,True,False
JS10818,True,False
JS10819,True,False
JS10820,True,False
JS10821,False,True
JS10822,True,False
JS10823,False,True
