record,train,test
S0001,True,False
S0002,True,False
S0003,True,False
S0004,True,False
S0005,True,False
S0006,True,False
S0007,True,False
S0008,True,False
S0009,True,False
S0010,True,False
S0011,True,False
S0012,False,True
S0013,True,False
S0014,False,True
S0015,True,False
S0016,True,False
S0017,True,False
S0018,True,False
S0019,True,False
S0020,True,False
S0021,False,True
S0022,True,False
S0023,True,False
S0024,True,False
S0025,False,True
S0026,True,False
S0027,False,True
S0028,True,False
S0029,True,False
S0030,True,False
S0031,True,False
S0032,True,False
S0033,True,False
S0034,True,False
S0035,False,True
S0036,True,False
S0037,False,True
S0038,True,False
S0039,False,True
S0040,True,False
S0041,True,False
S0042,False,True
S0043,True,False
S0044,True,False
S0045,True,False
S0046,True,False
S0047,True,False
S0048,True,False
S0049,False,True
S0050,False,True
S0051,True,False
S0052,True,False
S0053,True,False
S0054,True,False
S0055,True,False
S0056,False,True
S0057,True,False
S0058,True,False
S0059,True,False
S0060,False,True
S0061,True,False
S0062,True,False
S0063,True,False
S0064,True,False
S0065,True,False
S0066,True,False
S0067,True,False
S0068,True,False
S0069,True,False
S0070,True,False
S0071,True,False
S0072,True,False
S0073,True,False
S0074,True,False
S0075,True,False
S0076,False,True
S0077,True,False
S0078,True,False
S0079,True,False
S0080,False,True
S0081,True,False
S0082,False,True
S0083,True,False
S0084,True,False
S0085,True,False
S0086,False,True
S0087,True,False
S0088,True,False
S0089,True,False
S0090,True,False
S0091,True,False
S0092,False,True
S0093,True,False
S0094,True,False
S0095,True,False
S0096,False,True
S0097,True,False
S0098,True,False
S0099,True,False
S0100,True,False
S0101,True,False
S0102,False,True
S0103,True,False
S0104,True,False
S0105,True,False
S0106,True,False
S0107,True,False
S0108,False,True
S0109,True,False
S0110,True,False
S0111,True,False
S0112,True,False
S0113,True,False
S0114,True,False
S0115,True,False
S0116,True,False
S0117,True,False
S0118,True,False
S0119,True,False
S0120,True,False
S0121,True,False
S0122,True,False
S0123,True,False
S0124,True,False
S0125,True,False
S0126,True,False
S0127,True,False
S0128,True,False
S0129,True,False
S0130,True,False
S0131,True,False
S0132,False,True
S0133,True,False
S0134,True,False
S0135,False,True
S0136,True,False
S0137,True,False
S0138,True,False
S0139,True,False
S0140,True,False
S0141,True,False
S0142,True,False
S0143,True,False
S0144,True,False
S0145,False,True
S0146,True,False
S0147,True,False
S0148,False,True
S0149,True,False
S0150,True,False
S0151,False,True
S0152,True,False
S0153,True,False
S0154,True,False
S0155,True,False
