record,train,test
HR00001,True,False
HR00002,True,False
HR00003,True,False
HR00004,True,False
HR00005,True,False
HR00006,True,False
HR00007,True,False
HR00008,False,True
HR00009,True,False
HR00010,True,False
HR00011,True,False
HR00012,False,True
HR00013,True,False
HR00014,True,False
HR00015,False,True
HR00016,False,True
HR00017,False,True
HR00018,True,False
HR00019,True,False
HR00020,False,True
HR00021,True,False
HR00022,True,False
HR00023,True,False
HR00024,False,True
HR00025,False,True
HR00026,True,False
HR00027,False,True
HR00028,True,False
HR00029,True,False
HR00030,True,False
HR00031,True,False
HR00032,True,False
HR00033,True,False
HR00034,True,False
HR00035,False,True
HR00036,True,False
HR00037,True,False
HR00038,True,False
HR00039,True,False
HR00040,True,False
HR00041,True,False
HR00042,True,False
HR00043,True,False
HR00044,False,True
HR00045,True,False
HR00046,True,False
HR00047,True,False
HR00048,True,False
HR00049,True,False
HR00050,True,False
HR00051,True,False
HR00052,False,True
HR00053,True,False
HR00054,True,False
HR00055,True,False
HR00056,True,False
HR00057,True,False
HR00058,True,False
HR00059,True,False
HR00060,True,False
HR00061,True,False
HR00062,True,False
HR00063,True,False
HR00064,True,False
HR00065,True,False
HR00066,True,False
HR00067,True,False
HR00068,True,False
HR00069,True,False
HR00070,True,False
HR00071,True,False
HR00072,True,False
HR00073,True,False
HR00074,True,False
HR00075,False,True
HR00076,True,False
HR00077,True,False
HR00078,True,False
HR00079,True,False
HR00080,True,False
HR00081,True,False
HR00082,True,False
HR00083,True,False
HR00084,True,False
HR00085,True,False
HR00086,True,False
HR00087,True,False
HR00088,True,False
HR00089,True,False
HR00090,True,False
HR00091,True,False
HR00092,True,False
HR00093,True,False
HR00094,True,False
HR00095,True,False
HR00096,True,False
HR00097,True,False
HR00098,True,False
HR00099,True,False
HR00100,True,False
HR00101,True,False
HR00102,True,False
HR00103,True,False
HR00104,True,False
HR00105,False,True
HR00106,False,True
HR00107,True,False
HR00108,True,False
HR00109,True,False
HR00110,True,False
HR00111,True,False
HR00112,True,False
HR00113,True,False
HR00114,True,False
HR00115,True,False
HR00116,True,False
HR00117,True,False
HR00118,True,False
HR00119,True,False
HR00120,True,False
HR00121,False,True
HR00122,False,True
HR00123,True,False
HR00124,True,False
HR00125,True,False
HR00126,True,False
HR00127,True,False
HR00128,True,False
HR00129,False,True
HR00130,True,False
HR00131,True,False
HR00132,True,False
HR00133,False,True
HR00134,True,False
HR00135,True,False
HR00136,True,False
HR00137,False,True
HR00138,True,False
HR00139,True,False
HR00140,True,False
HR00141,True,False
HR00142,True,False
HR00143,True,False
HR00144,True,False
HR00145,True,False
HR00146,False,True
HR00147,False,True
HR00148,True,False
HR00149,True,False
HR00150,True,False
HR00151,True,False
HR00152,True,False
HR00153,False,True
HR00154,True,False
HR00155,False,True
HR00156,False,True
HR00157,False,True
HR00158,True,False
HR00159,True,False
HR00160,True,False
HR00161,True,False
HR00162,True,False
HR00163,False,True
HR00164,True,False
HR00165,True,False
HR00166,True,False
HR00167,True,False
HR00168,True,False
HR00169,True,False
HR00170,True,False
HR00171,True,False
HR00172,True,False
HR00173,True,False
HR00174,True,False
HR00175,True,False
HR00176,True,False
HR00177,True,False
HR00178,True,False
HR00179,True,False
HR00180,False,True
HR00181,False,True
HR00182,True,False
HR00183,True,False
HR00184,True,False
HR00185,True,False
HR00186,True,False
HR00187,True,False
HR00188,True,False
HR00189,True,False
HR00190,True,False
HR00191,True,False
HR00192,True,False
HR00193,True,False
HR00194,True,False
HR00195,True,False
HR00196,True,False
HR00197,True,False
HR00198,False,True
HR00199,True,False
HR00200,False,True
HR00201,True,False
HR00202,True,False
HR00203,True,False
HR00204,True,False
HR00205,True,False
HR00206,True,False
HR00207,True,False
HR00208,False,True
HR00209,False,True
HR00210,False,True
HR00211,True,False
HR00212,False,True
HR00213,False,True
HR00214,True,False
HR00215,True,False
HR00216,True,False
HR00217,True,False
HR00218,False,True
HR00219,True,False
HR00220,False,True
HR00221,True,False
HR00222,False,True
HR00223,True,False
HR00224,True,False
HR00225,True,False
HR00226,True,False
HR00227,True,False
HR00228,True,False
HR00229,True,False
HR00230,True,False
HR00231,False,True
HR00232,True,False
HR00233,True,False
HR00234,True,False
HR00235,True,False
HR00236,True,False
HR00237,True,False
HR00238,True,False
HR00239,True,False
HR00240,True,False
HR00241,True,False
HR00242,True,False
HR00243,False,True
HR00244,False,True
HR00245,True,False
HR00246,False,True
HR00247,False,True
HR00248,False,True
HR00249,True,False
HR00250,True,False
HR00251,False,True
HR00252,True,False
HR00253,False,True
HR00254,False,True
HR00255,False,True
HR00256,False,True
HR00257,False,True
HR00258,True,False
HR00259,True,False
HR00260,True,False
HR00261,True,False
HR00262,False,True
HR00263,True,False
HR00264,True,False
HR00265,True,False
HR00266,True,False
HR00267,True,False
HR00268,True,False
HR00269,True,False
HR00270,True,False
HR00271,True,False
HR00272,False,True
HR00273,True,False
HR00274,True,False
HR00275,True,False
HR00276,True,False
HR00277,False,True
HR00278,True,False
HR00279,True,False
HR00280,True,False
HR00281,True,False
HR00282,False,True
HR00283,True,False
HR00284,False,True
HR00285,True,False
HR00286,True,False
HR00287,False,True
HR00288,True,False
HR00289,True,False
HR00290,False,True
HR00291,True,False
HR00292,True,False
HR00293,True,False
HR00294,True,False
HR00295,True,False
HR00296,True,False
HR00297,True,False
HR00298,True,False
HR00299,True,False
HR00300,True,False
HR00301,True,False
HR00302,True,False
HR00303,True,False
HR00304,True,False
HR00305,False,True
HR00306,True,False
HR00307,False,True
HR00308,True,False
HR00309,True,False
HR00310,True,False
HR00311,True,False
HR00312,True,False
HR00313,True,False
HR00314,False,True
HR00315,True,False
HR00316,True,False
HR00317,True,False
HR00318,True,False
HR00319,True,False
HR00320,True,False
HR00321,True,False
HR00322,True,False
HR00323,True,False
HR00324,True,False
HR00325,True,False
HR00326,False,True
HR00327,True,False
HR00328,False,True
HR00329,False,True
HR00330,True,False
HR00331,True,False
HR00332,True,False
HR00333,True,False
HR00334,True,False
HR00335,True,False
HR00336,True,False
HR00337,True,False
HR00338,True,False
HR00339,True,False
HR00340,True,False
HR00341,True,False
HR00342,True,False
HR00343,True,False
HR00344,False,True
HR00345,True,False
HR00346,True,False
HR00347,True,False
HR00348,True,False
HR00349,False,True
HR00350,True,False
HR00351,True,False
HR00352,True,False
HR00353,True,False
HR00354,True,False
HR00355,True,False
HR00356,True,False
HR00357,True,False
HR00358,True,False
HR00359,False,True
HR00360,True,False
HR00361,True,False
HR00362,True,False
HR00363,True,False
HR00364,False,True
HR00365,True,False
HR00366,True,False
HR00367,True,False
HR00368,True,False
HR00369,False,True
HR00370,True,False
HR00371,True,False
HR00372,True,False
HR00373,True,False
HR00374,True,False
HR00375,True,False
HR00376,True,False
HR00377,False,True
HR00378,True,False
HR00379,True,False
HR00380,True,False
HR00381,True,False
HR00382,False,True
HR00383,True,False
HR00384,True,False
HR00385,True,False
HR00386,False,True
HR00387,True,False
HR00388,True,False
HR00389,True,False
HR00390,True,False
HR00391,False,True
HR00392,True,False
HR00393,False,True
HR00394,True,False
HR00395,True,False
HR00396,True,False
HR00397,True,False
HR00398,False,True
HR00399,True,False
HR00400,True,False
HR00401,True,False
HR00402,True,False
HR00403,True,False
