record,train,test
I0001,False,True
I0002,True,False
I0003,True,False
I0004,True,False
I0005,True,False
I0006,True,False
I0007,True,False
I0008,False,True
I0009,True,False
I0010,True,False
I0011,True,False
I0012,True,False
I0013,False,True
I0014,False,True
I0015,False,True
I0016,True,False
I0017,True,False
I0018,True,False
I0019,True,False
I0020,True,False
I0021,True,False
I0022,True,False
I0023,True,False
I0024,True,False
I0025,True,False
I0026,False,True
I0027,False,True
I0028,True,False
I0029,True,False
I0030,True,False
I0031,True,False
I0032,True,False
I0033,True,False
I0034,True,False
I0035,True,False
I0037,True,False
I0038,True,False
I0039,True,False
I0040,True,False
I0041,True,False
I0042,True,False
I0043,True,False
I0044,True,False
I0045,False,True
I0046,True,False
I0047,True,False
I0048,True,False
I0049,True,False
I0050,True,False
I0051,True,False
I0052,True,False
I0053,True,False
I0054,False,True
I0055,True,False
I0056,True,False
I0057,True,False
I0058,True,False
I0059,True,False
I0060,False,True
I0061,True,False
I0062,True,False
I0063,False,True
I0064,True,False
I0065,False,True
I0066,True,False
I0067,True,False
I0068,True,False
I0069,True,False
I0070,False,True
I0071,True,False
I0072,True,False
I0073,False,True
I0074,True,False
I0075,False,True
